% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge_constP.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 2 2024, 10:00"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
4,5,13824,2673.0000000000014,2628.224091965802,2661.2524022232597,2672.999999999996,2628.2045904082324,2673.0000000000027,2628.186669139819,2656.04451379483,2647.748332295772,2557.4824156249456,77.91666666666677,-851976.1085362975
4,5,13968,2673.0000000000014,2629.9146903277033,2661.7435072383532,2672.999999999996,2629.8962372859105,2673.0000000000027,2629.8792040934773,2656.7701046313723,2648.8245703763014,2561.5970475927866,77.91666666666677,-819798.1981757857
4,5,14112,2673.0000000000014,2631.5401821006217,2662.2096889301783,2672.999999999996,2631.5231651463573,2673.0000000000027,2631.5071951482623,2657.462774095664,2649.8520865396763,2565.5611591425354,77.91666666666683,-788847.3749059237
4,5,14256,2673.0000000000014,2633.102038795969,2662.6527462713593,2672.999999999996,2633.0861739762627,2673.0000000000027,2633.071059116073,2658.1247445654703,2650.83430309139,2569.3807617408524,77.91666666666677,-759115.714437789
4,5,14400,2673.0000000000014,2634.6053277207834,2663.075459294904,2672.999999999996,2634.5897824267668,2673.0000000000027,2634.5750023959426,2658.75813474186,2651.774806567277,2573.073659934377,77.91666666666677,-730523.2461152943
4,7.5,0,2673.0000000000014,2172.999999999992,2173.1920879978074,2672.999999999996,2172.9999999999613,2673.0000000000027,2172.999999999998,2173.0000004879917,2173.000000001063,2173.0000000000123,15.583333333333712,-1901166.6666666346
4,7.5,144,2673.0000000000014,2173.012708106514,2194.115945988216,2672.9999999999955,2173.0107858228544,2673.000000000002,2173.0089039215004,2183.0279235814864,2177.056270457985,2173.001069852509,15.583582977832004,-1901163.2670755293
4,7.5,288,2673.0000000000014,2173.704144654608,2212.851245045998,2672.999999999996,2173.6469633116817,2673.0000000000023,2173.5903060457827,2195.2788507239334,2184.551995657022,2173.0341899478462,15.601998671869604,-1901196.6091572754
4,7.5,432,2673.0000000000014,2175.3949470174275,2230.7791035562705,2672.9999999999955,2175.305350178554,2673.0000000000023,2175.2161208856555,2207.3706629239996,2192.189452983475,2173.1743665912254,15.652769527213062,-1901173.9055298055
4,7.5,576,2673.0000000000014,2176.7663223908826,2247.991662247408,2672.9999999999955,2176.707169735767,2673.0000000000023,2176.648044300483,2219.302465135168,2199.922369987054,2173.4064120972157,15.698729301250818,-1901271.1777241647
4,7.5,720,2673.0000000000014,2177.7625320589677,2264.479453028974,2672.9999999999955,2177.715748798272,2673.0000000000023,2177.668573605441,2231.051843359542,2207.738442389527,2173.703206737676,15.730444880362878,-1901195.222900223
4,7.5,864,2673.0000000000014,2178.779507431764,2280.2948216418868,2672.999999999996,2178.726015311911,2673.0000000000023,2178.672570199885,2242.6086467339705,2215.6101626893474,2174.0501159984015,15.761314978081922,-1901065.0789059217
4,7.5,1008,2673.0000000000014,2179.9117337604252,2295.133609821569,2672.999999999996,2179.85475832947,2673.0000000000023,2179.797878519762,2253.857173034862,2223.546988589827,2174.478588262784,15.798022129234715,-1901154.7991565005
4,7.5,1152,2673.0000000000014,2181.1907736354774,2308.992514094301,2672.999999999996,2181.130089646736,2673.0000000000023,2181.069540083498,2264.7470768911503,2231.5036379206113,2175.0038526416374,15.839299233751188,-1901207.4366625804
4,7.5,1296,2673.0000000000014,2182.515667552413,2322.546365925098,2672.999999999996,2182.4511848378393,2673.0000000000023,2182.386874916795,2275.5250818773657,2239.4662148687175,2175.5593223464707,15.881987956953726,-1901226.465559069
4,7.5,1440,2673.0000000000014,2183.954171701293,2335.4806665467863,2672.999999999996,2183.885999639701,2673.0000000000023,2183.818029014913,2286.032996005213,2247.397176373562,2176.1927423838697,15.928723305430541,-1901258.7998856022
